                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6596      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6 
                    log_star_age                           radius                        star_mass                       luminosity                   center_entropy                  Bolometric_Flux 
         7.4431673466827819E+000          7.1592421592456407E-002          5.1513086668007243E-005          1.9952201814461276E-009          7.2951859503915140E+000          2.8472098352537891E+006 
         7.4483298289543267E+000          7.1494666946510313E-002          5.1513086668007243E-005          1.9691044576199910E-009          7.2911378956374513E+000          2.8394397957971096E+006 
         7.4534900965994932E+000          7.1397335554800129E-002          5.1513086668007243E-005          1.9433372450661960E-009          7.2871086269832368E+000          2.8317139466161020E+006 
         7.4586487119374372E+000          7.1300414843265422E-002          5.1513086668007243E-005          1.9179113685739532E-009          7.2830857524194483E+000          2.8240311543500572E+006 
         7.4638061830077209E+000          7.1203882456321962E-002          5.1513086668007243E-005          1.8928239797186254E-009          7.2790691943951149E+000          2.8163895178335207E+006 
         7.4689629785956306E+000          7.1107731268442220E-002          5.1513086668007243E-005          1.8680681706805985E-009          7.2750510355502325E+000          2.8087883492023028E+006 
         7.4741195424182756E+000          7.1011952435466347E-002          5.1513086668007243E-005          1.8436485747890223E-009          7.2710235840293347E+000          2.8012268285366846E+006 
         7.4793904462947411E+000          7.0914429708840723E-002          5.1513086668007243E-005          1.8190157475272218E-009          7.2669181783927064E+000          2.7935381033662274E+006 
         7.4848506815992915E+000          7.0813800118983888E-002          5.1513086668007243E-005          1.7938482978603514E-009          7.2626667989146503E+000          2.7856155087302034E+006 
         7.4904801545724959E+000          7.0710469301111828E-002          5.1513086668007243E-005          1.7682897930016046E-009          7.2582821642091675E+000          2.7774919531046236E+006 
         7.4962616541269336E+000          7.0604785929597361E-002          5.1513086668007243E-005          1.7424383875799176E-009          7.2537853410671902E+000          2.7691957175006187E+006 
         7.5021799885471960E+000          7.0497038617112040E-002          5.1513086668007243E-005          1.7179355348702743E-009          7.2491836620851249E+000          2.7607502353944606E+006 
         7.5082215589767252E+000          7.0387424770077658E-002          5.1513086668007243E-005          1.6921999833860904E-009          7.2444908027083059E+000          2.7521716852862267E+006 
         7.5143699560887098E+000          7.0276307529441542E-002          5.1513086668007243E-005          1.6664343749494348E-009          7.2396932042458424E+000          2.7434891020629043E+006 
