**Planet model v40 by Leslie Rogers**

100		#Radius precision (m)
10		#Step size (m)
0.3		#FeMFrac
0.7		#silicateMFrac
0		#H2OMFrac

logPext(Pa): 	1	2	3	4	5	6	7	8	9	10	11
Mcore(Mearth)	Rcore(Rearth)

9	1.789047e+00	1.789047e+00	1.789047e+00	1.789047e+00	1.789047e+00	1.789032e+00	1.789032e+00	1.788971e+00	1.788345e+00	1.782318e+00	1.735733e+00
9.1	1.794037e+00	1.794037e+00	1.794037e+00	1.794037e+00	1.794037e+00	1.794037e+00	1.794022e+00	1.793961e+00	1.793335e+00	1.787338e+00	1.740814e+00
9.2	1.798981e+00	1.798981e+00	1.798981e+00	1.798981e+00	1.798981e+00	1.798981e+00	1.798981e+00	1.798904e+00	1.798294e+00	1.792297e+00	1.745850e+00
9.3	1.803879e+00	1.803879e+00	1.803879e+00	1.803879e+00	1.803879e+00	1.803879e+00	1.803879e+00	1.803818e+00	1.803192e+00	1.797211e+00	1.750839e+00
9.4	1.808731e+00	1.808731e+00	1.808731e+00	1.808731e+00	1.808731e+00	1.808731e+00	1.808731e+00	1.808670e+00	1.808044e+00	1.802078e+00	1.755768e+00
9.5	1.813553e+00	1.813553e+00	1.813553e+00	1.813553e+00	1.813553e+00	1.813553e+00	1.813538e+00	1.813477e+00	1.812866e+00	1.806900e+00	1.760666e+00
9.6	1.818314e+00	1.818314e+00	1.818314e+00	1.818314e+00	1.818314e+00	1.818314e+00	1.818314e+00	1.818253e+00	1.817642e+00	1.811691e+00	1.765518e+00
9.7	1.823044e+00	1.823044e+00	1.823044e+00	1.823044e+00	1.823044e+00	1.823044e+00	1.823044e+00	1.822983e+00	1.822357e+00	1.816437e+00	1.770340e+00
9.8	1.827728e+00	1.827728e+00	1.827728e+00	1.827728e+00	1.827728e+00	1.827728e+00	1.827728e+00	1.827667e+00	1.827057e+00	1.821121e+00	1.775101e+00
9.9	1.832382e+00	1.832382e+00	1.832382e+00	1.832382e+00	1.832382e+00	1.832367e+00	1.832367e+00	1.832306e+00	1.831696e+00	1.825790e+00	1.779831e+00
10	1.836975e+00	1.836975e+00	1.836975e+00	1.836975e+00	1.836975e+00	1.836975e+00	1.836975e+00	1.836914e+00	1.836304e+00	1.830399e+00	1.784515e+00
11	1.880951e+00	1.880951e+00	1.880951e+00	1.880951e+00	1.880951e+00	1.880951e+00	1.880951e+00	1.880890e+00	1.880295e+00	1.874512e+00	1.829315e+00
12	1.921600e+00	1.921600e+00	1.921600e+00	1.921600e+00	1.921600e+00	1.921585e+00	1.921585e+00	1.921524e+00	1.920944e+00	1.915268e+00	1.870758e+00
13	1.959381e+00	1.959381e+00	1.959381e+00	1.959381e+00	1.959381e+00	1.959381e+00	1.959381e+00	1.959320e+00	1.958740e+00	1.953186e+00	1.909332e+00
14	1.994705e+00	1.994705e+00	1.994705e+00	1.994705e+00	1.994705e+00	1.994705e+00	1.994690e+00	1.994644e+00	1.994080e+00	1.988617e+00	1.945404e+00
15	2.027863e+00	2.027863e+00	2.027863e+00	2.027863e+00	2.027863e+00	2.027863e+00	2.027863e+00	2.027802e+00	2.027252e+00	2.021896e+00	1.979294e+00
